ID,Name,Platform,Year_of_Release,Genre,Publisher
7879,Namco Museum Megamix,Wii,2010,Misc,Namco Bandai Games
7880,Chaotic: Shadow Warriors,Wii,2009,Action,Activision
7881,The Legend of Spyro: A New Beginning,GC,2006,Platform,Vivendi Games
7882,International Soccer,2600,1981,Sports,Mattel Interactive
7883,Princess Maker: Yumemiru Yosei,PS,1997,Strategy,Sony Computer Entertainment
7884,3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015,Action,Namco Bandai Games
7885,Armored Core: For Answer,PS3,2008,Simulation,Ubisoft
7886,Big Air,PS,1999,Sports,Accolade
7887,Shining Force II,GEN,1993,Strategy,Sega
7888,Taiko no Tatsujin: Wii U Version!,WiiU,2013,Misc,Namco Bandai Games
7889,Gallop Racer,PS,1999,Sports,Tecmo Koei
7890,The Walking Dead: Season Two,PS3,2014,Adventure,Telltale Games
7891,Harry Potter and the Prisoner of Azkaban,XB,2004,Action,Electronic Arts
7892,3rd Super Robot Wars Z Jigoku Hen,PSV,2014,Role-Playing,Namco Bandai Games
7893,Where's Waldo? The Fantastic Journey,Wii,2009,Adventure,Ubisoft
7894,Sudoku Gridmaster (JP sales),DS,2006,Puzzle,Nintendo
7895,Monsters vs. Aliens,PS2,2009,Action,Activision
7896,College Slam,PS,1995,Sports,Acclaim Entertainment
7897,Street Fighter X Tekken,PSV,2012,Fighting,Capcom
7898,Nobunaga no Yabou: Souzou,PS3,2013,Strategy,Tecmo Koei
7899,The Legend of Heroes: Trails of Cold Steel II,PSV,2014,Role-Playing,Nippon Ichi Software
7900,Pro Yaky? Spirits 4,PS2,2007,Sports,Konami Digital Entertainment
7901,Rock Band Track Pack Volume 2,X360,2008,Misc,MTV Games
7902,Need for Speed: Shift 2 Unleashed,PC,2011,Racing,Electronic Arts
7903,Tamagotchi Party On!,Wii,2006,Misc,Namco Bandai Games
7904,Daigasso! Band Brothers,DS,2004,Misc,Nintendo
7905,Rise of the Kasai,PS2,2005,Action,Sony Computer Entertainment
7906,Thoroughbred Breeder,SNES,1993,Simulation,Hect
7907,Momotarou Dentetsu World,DS,2010,Misc,Hudson Soft
7908,Singstar: Ultimate Party,PS4,2014,Misc,Sony Computer Entertainment Europe
7909,Beyblade: Metal Fusion - Battle Fortress,Wii,2009,Action,Konami Digital Entertainment
7910,Risen,X360,2009,Role-Playing,Deep Silver
7911,Nostalgia,DS,2008,Role-Playing,Tecmo Koei
7912,Dynasty Warriors Gundam,X360,2007,Action,Namco Bandai Games
7913,Chibi-Robo! Park Patrol,DS,2007,Adventure,Unknown
7914,Jurassic: The Hunted,PS3,2009,Shooter,Activision
7915,Farmtopia,DS,2010,Simulation,505 Games
7916,DanceDanceRevolution,PS3,2010,Simulation,Konami Digital Entertainment
7917,Tom Clancy's Splinter Cell: Blacklist,PC,2013,Action,Ubisoft
7918,"Ni Hao, Kai-lan: Super Game Day",Wii,2009,Misc,Take-Two Interactive
7919,One Piece: Unlimited Adventure,Wii,2007,Adventure,Namco Bandai Games
7920,Shaun White Skateboarding,PS3,2010,Sports,Ubisoft
7921,Crash & Spyro Superpack,GBA,2005,Platform,Vivendi Games
7922,Reel Fishing Paradise 3D,3DS,2011,Sports,Marvelous Interactive
7923,Conflict: Denied Ops,PS3,2008,Shooter,Eidos Interactive
7924,Binary Domain,X360,2012,Action,Sega
7925,Kuma-Tomo,3DS,2013,Misc,Namco Bandai Games
7926,IL-2 Sturmovik: Birds of Prey,PSP,2009,Simulation,505 Games
7927,ThunderStrike 2,PS,1994,Simulation,Core Design Ltd.
7928,Magical ZhuZhu Princess: Carriages & Castles,DS,2011,Simulation,Activision
7929,Pro Yaky? Spirits 2012,PS3,2012,Sports,Konami Digital Entertainment
7930,Super Real Mahjong P V,SAT,1995,Misc,Seta Corporation
7931,Thomas the Tank Engine & Friends,GBA,2004,Adventure,N/A
7932,Penguin no Mondai X: Tenkuu no 7 Senshi,DS,2009,Action,Konami Digital Entertainment
7933,The Scorpion King: Sword of Osiris,GBA,2002,Action,Vivendi Games
7934,Jeep Thrills,Wii,2008,Racing,Zoo Digital Publishing
7935,Ice Age: Dawn of the Dinosaurs,PS3,2009,Action,Activision
7936,Bubsy 3D,PS,1996,Platform,Accolade
7937,NCAA Final Four 2001,PS2,2000,Sports,Sony Computer Entertainment
7938,Robin Hood: Defender of the Crown,PS2,2003,Strategy,Capcom
7939,Face Training,DS,2007,Misc,Nintendo
7940,Barbie Horse Adventures: Riding Camp,Wii,2008,Sports,Activision
7941,SD Gundam GX,SNES,1994,Strategy,Namco Bandai Games
7942,R-Type Final,PS2,2003,Shooter,Metro 3D
7943,Jackie Chan Adventures: Legend of the Dark Hand,GBA,2001,Action,Activision
7944,Bolt,PS3,2008,Adventure,Disney Interactive Studios
7945,Mathews Bowhunting,Wii,2010,Sports,Zoo Games
7946,Phantasy Star Nova,PSV,2014,Role-Playing,Sega
7947,Pro Evolution Soccer 2014,3DS,2013,Action,Konami Digital Entertainment
7948,Sega GT 2002,XB,2002,Racing,Sega
7949,F1 2011,PC,2011,Racing,Codemasters
7950,Air Conflicts: Secret Wars,PS3,2011,Simulation,bitComposer Games
7951,Ty the Tasmanian Tiger 3: Night of the Quinkan,PS2,2005,Action,Activision
7952,Family Feud: 2012 Edition,Wii,2011,Misc,Ubisoft
7953,Samurai Warriors 2: Empires,PS2,2006,Action,Tecmo Koei
7954,Blood Omen 2,XB,2002,Action,Eidos Interactive
7955,Earth Defense Force: Insect Armageddon,X360,2011,Shooter,D3Publisher
7956,Major League Baseball 2K10,PS3,2010,Sports,Take-Two Interactive
7957,Saints Row IV,PC,2013,Action,Deep Silver
7958,J-League Pro Soccer Club o Tsukurou! 5,PS2,2007,Sports,Sega
7959,Harry Potter: Quidditch World Cup,XB,2003,Sports,Electronic Arts
7960,Dance Central: Spotlight,XOne,2014,Misc,Microsoft Game Studios
7961,Little Battlers eXperience W,PSP,2012,Role-Playing,Level 5
7962,Warriors: Legends of Troy,PS3,2011,Action,Tecmo Koei
7963,La Pucelle: Tactics,PS2,2002,Role-Playing,Tecmo Koei
7964,Arcania: Gothic 4,PC,2010,Role-Playing,JoWood Productions
7965,NBA Ballers: Chosen One,X360,2008,Sports,Midway Games
7966,Tiger Woods PGA Tour 07,XB,2006,Sports,Electronic Arts
7967,Disney's Meet the Robinsons,Wii,2007,Action,Disney Interactive Studios
7968,Sword Art Online: Hollow Realization,PS4,2016,Role-Playing,Namco Bandai Games
7969,Star Wars: The Clone Wars & Tetris Worlds,XB,2002,Misc,Microsoft Game Studios
7970,The Lord of the Rings: War in the North,PC,2011,Action,Warner Bros. Interactive Entertainment
7971,The Bee Game,DS,2007,Adventure,Midway Games
7972,SBK X: Superbike World Championship,X360,2010,Racing,Black Bean Games
7973,Rango: The Video Game,PS3,2011,Action,Electronic Arts
7974,EverQuest Online Adventures: Frontiers,PS2,2003,Role-Playing,Sony Online Entertainment
7975,Godzilla (2015),PS4,2014,Action,Namco Bandai Games
7976,Fairy Fencer F,PS3,2013,Role-Playing,Nippon Ichi Software
7977,Shadows of the Damned,X360,2011,Action,Electronic Arts
7978,Treasures of the Deep,PS,1997,Action,Namco Bandai Games
7979,Phantasy Star Online Ver. 2,DC,2001,Role-Playing,Sega
7980,Cabela's Survival: Shadows of Katmai,PS3,2011,Sports,Activision
7981,Hot Wheels: Battle Force 5,Wii,2009,Racing,Activision
7982,Go Play: Lumberjacks,Wii,2009,Simulation,Majesco Entertainment
7983,Fight Club,PS2,2004,Fighting,Vivendi Games
7984,Samurai Warriors: State of War,PSP,2005,Action,Tecmo Koei
7985,Cabela's Survival: Shadows of Katmai,X360,2011,Sports,Activision
7986,Dragon Blade: Wrath of Fire,Wii,2007,Action,D3Publisher
7987,Guilty Gear Xrd: Sign,PS3,2014,Fighting,Arc System Works
7988,Dance Dance Revolution: Disney Grooves,Wii,2009,Simulation,Konami Digital Entertainment
7989,Camping Mama: Outdoor Adventures,DS,2011,Simulation,505 Games
7990,Harvest Moon: A Wonderful Life Special Edition,PS2,2004,Simulation,505 Games
7991,Sports Illustrated for Kids: Football,GBA,2003,Sports,BAM! Entertainment
7992,The Munchables,Wii,2009,Action,Namco Bandai Games
7993,How to Train Your Dragon 2,Wii,2014,Adventure,Little Orbit
7994,.hack//Quarantine Part 4: The Final Chapter,PS2,2003,Role-Playing,Atari
7995,The Smurfs 2,DS,2013,Platform,Ubisoft
7996,Close Combat: First to Fight,XB,2005,Shooter,Take-Two Interactive
7997,Indiana Jones and the Emperor's Tomb,XB,2003,Action,LucasArts
7998,Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003,Action,Vivendi Games
7999,Remington Super Slam Hunting: North America,Wii,2010,Sports,Mastiff
8000,Reel Fishing II,PS,2000,Sports,Victor Interactive
8001,Battle of Giants: Dinosaurs Strike,Wii,2010,Strategy,Ubisoft
8002,Ty the Tasmanian Tiger,XB,2002,Platform,Electronic Arts
8003,Imagine: Babyz Fashion,DS,2009,Simulation,Ubisoft
8004,Dead or Alive,SAT,1997,Fighting,Tecmo Koei
8005,Active Health with Carol Vorderman,DS,2009,Sports,Nintendo
8006,Driving Emotion Type-S,PS2,2000,Racing,Electronic Arts
8007,Heavy Fire: Afghanistan,PS3,2011,Shooter,Unknown
8008,Siren,PS2,2003,Adventure,Sony Computer Entertainment
8009,NARC,XB,2005,Shooter,Midway Games
8010,Driver: San Francisco,PC,2011,Racing,Ubisoft
8011,Just Dance 2017,Wii,2016,Misc,Ubisoft
8012,NASCAR Unleashed,Wii,2011,Racing,Activision
8013,Super Robot Taisen J,GBA,2005,Strategy,Banpresto
8014,Shape Up,XOne,2014,Misc,Ubisoft
8015,Nep League DS,DS,2007,Sports,Jaleco
8016,Happy Cooking,DS,2006,Simulation,Ubisoft
8017,Ar tonelico 2: Melody of Metafalica,PS2,2007,Role-Playing,Nippon Ichi Software
8018,Cars: Race-O-Rama,PS3,2009,Racing,THQ
8019,Jewel Master: Cradle of Athena,DS,2010,Puzzle,Storm City Games
8020,Saw II: Flesh & Blood,PS3,2010,Action,Konami Digital Entertainment
8021,Hidden Mysteries: Vampire Secrets,DS,2010,Adventure,Astragon
8022,Casper: Friends Around the World,PS,2000,Action,TDK Core
8023,Jurassic Park III: Island Attack,GBA,2001,Adventure,Konami Digital Entertainment
8024,Jikkyou Powerful Pro Baseball 2016,PSV,2016,Sports,Konami Digital Entertainment
8025,Star Trek: Legacy,X360,N/A,Simulation,Ubisoft
8026,Tekken Tag Tournament 2,WiiU,2012,Fighting,Namco Bandai Games
8027,GameBoy Wars,GB,1991,Strategy,Nintendo
8028,Amplitude,PS2,2003,Misc,Sony Computer Entertainment
8029,Disgaea DS,DS,2008,Role-Playing,Square Enix
8030,Gauntlet: Seven Sorrows,XB,2005,Role-Playing,Midway Games
8031,AirForce Delta Storm,XB,2001,Shooter,Konami Digital Entertainment
8032,Metal Gear Solid V: The Phantom Pain,X360,2015,Action,Konami Digital Entertainment
8033,Monopoly Party,XB,2002,Misc,Infogrames
8034,Fear Effect 2: Retro Helix,PS,2001,Action,Eidos Interactive
8035,Chaotic: Shadow Warriors,DS,2009,Action,Activision
8036,Ninja Gaiden 3,WiiU,2012,Action,Nintendo
8037,Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014,Role-Playing,Tecmo Koei
8038,Mahjong: Journey Quest for Tikal,DS,2008,Puzzle,Rondomedia
8039,Call of Duty: World at War,PC,2008,Shooter,Activision
8040,CSI: Fatal Conspiracy,PS3,2010,Adventure,Ubisoft
8041,Chocobo no Fushigi Dungeon for WonderSwan,WS,1999,Role-Playing,Namco Bandai Games
8042,International Superstar Soccer 2000 (JP weekly sales),N64,1999,Sports,Konami Digital Entertainment
8043,Ringling Bros. and Barnum & Bailey Circus,Wii,2009,Action,Take-Two Interactive
8044,Klonoa: Door to Phantomile,PS,1997,Platform,Sony Computer Entertainment
8045,Vietcong: Purple Haze,PS2,2004,Shooter,Gathering of Developers
8046,Atari Anniversary Advance,GBA,2002,Misc,Atari
8047,Summer Athletics: The Ultimate Challenge,PS2,2008,Sports,DTP Entertainment
8048,Hatsune Miku and Future Stars: Project Mirai,3DS,2012,Misc,Sega
8049,X-Men Origins: Wolverine,PS2,2009,Action,Activision
8050,Syndicate,X360,2012,Shooter,Electronic Arts
8051,Zumba Fitness Rush,X360,2012,Sports,505 Games
8052,Call of Juarez,X360,2007,Shooter,Ubisoft
8053,TalkMan (Japan),PSP,2005,Misc,Sony Computer Entertainment
8054,Ghostbusters: The Video Game,PSP,2009,Action,Atari
8055,Bloody Roar: Primal Fury,GC,2002,Fighting,Activision
8056,Mega Man Soccer,SNES,1993,Sports,Capcom
8057,MotoGP,Wii,2009,Racing,Capcom
8058,Mushroom Men: The Spore Wars,Wii,2008,Action,SouthPeak Games
8059,Saint Seiya: Soldiers' Soul,PS4,2015,Fighting,Namco Bandai Games
8060,Brunswick Pro Bowling,PS3,2010,Sports,505 Games
8061,LEGO Harry Potter: Years 5-7,PSV,2012,Action,Warner Bros. Interactive Entertainment
8062,FIFA Soccer 07,GC,2006,Sports,Electronic Arts
8063,Rabbids Party Collection,Wii,2010,Misc,Ubisoft
8064,Corpse Party: Blood Drive,PSV,2014,Adventure,Marvelous Interactive
8065,The Last Airbender,DS,2010,Action,THQ
8066,My Fitness Coach 2: Exercise and Nutrition,Wii,2009,Sports,Black Bean Games
8067,Pokemon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,2004,Misc,Nintendo
8068,Vampire Savior: The Lord of Vampire,SAT,1998,Fighting,Capcom
8069,Backbreaker,X360,N/A,Sports,Unknown
8070,UFC Personal Trainer: The Ultimate Fitness System,Wii,2011,Sports,THQ
8071,MotoGP 14 ,PS4,2014,Racing,Milestone S.r.l.
8072,Shrek SuperSlam,DS,2005,Action,Activision
8073,Alone in the Dark,Wii,2008,Adventure,Atari
8074,Super Robot Taisen UX,3DS,2013,Role-Playing,Namco Bandai Games
8075,Skylanders Imaginators,WiiU,2016,Platform,Activision
8076,Six Flags Fun Park,DS,2008,Misc,Brash Entertainment
8077,Test Drive Off-Road Wide Open,XB,2001,Racing,Infogrames
8078,Jeopardy!,DS,2010,Misc,THQ
8079,Pro Yaky? Spirits 2011,PS3,2011,Sports,Konami Digital Entertainment
8080,Doctor Who: Return to Earth,Wii,2010,Adventure,Asylum Entertainment
8081,Battle Commander: Hachibushu Shura no Heihou,SNES,1991,Strategy,Banpresto
8082,WWE All Stars,PSP,2011,Fighting,THQ
8083,Jampack Vol. 1,PS,1996,Misc,Sony Computer Entertainment
8084,Bad Boys: Miami Takedown,XB,2004,Shooter,Empire Interactive
8085,Valhalla Knights 3,PSV,2013,Role-Playing,Xseed Games
8086,Mega Man X: Command Mission,PS2,2004,Role-Playing,Capcom
8087,Tokyo Xtreme Racer DRIFT,PS2,2003,Racing,Genki
8088,Moon,PS,1997,Adventure,ASCII Entertainment
8089,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",DS,2005,Action,Disney Interactive Studios
8090,Cabela's Big Game Hunter 2005 Adventures,XB,2004,Sports,Activision
8091,Re-Volt,N64,1999,Racing,Acclaim Entertainment
8092,Sesame Street: Elmo's Letter Adventure,N64,1999,Misc,NewKidCo
8093,Senran Kagura: Estival Versus,PSV,2015,Action,Marvelous Interactive
8094,Might & Magic: Clash of Heroes,DS,2009,Role-Playing,Ubisoft
8095,GRID Autosport,PS3,2014,Racing,Codemasters
8096,Gokujou Parodius,SNES,1994,Shooter,Konami Digital Entertainment
8097,Half-Minute Hero,PSP,2009,Role-Playing,Rising Star Games
8098,Gauntlet: Dark Legacy,GC,2002,Action,Midway Games
8099,A.C.E.: Another Century's Episode 2,PS2,2006,Simulation,Banpresto
8100,The Chronicles of Narnia: Prince Caspian,X360,2008,Action,Disney Interactive Studios
8101,Company of Heroes: Anthology,PC,2009,Strategy,THQ
8102,Shadow The Hedgehog,XB,2005,Platform,Sega
8103,Daigasso! Band Brothers P,3DS,2013,Misc,Nintendo
8104,Batman: Vengeance,GBA,2001,Adventure,Ubisoft
8105,Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,DC,2000,Sports,Sega
8106,The Adventures of Cookie & Cream,PS2,2000,Puzzle,Empire Interactive
8107,World of Outlaws: Sprint Cars,X360,2010,Racing,THQ
8108,Van Helsing,XB,2007,Action,Activision
8109,Grand Slam Tennis 2,X360,2012,Sports,Electronic Arts
8110,Ben 10 Ultimate Alien: Cosmic Destruction,X360,2010,Platform,D3Publisher
8111,Pure Futbol,X360,2010,Sports,Ubisoft
8112,Spider-Man: Friend or Foe,PSP,2007,Action,Activision
8113,Sing4: The Hits Edition,Wii,2011,Misc,Crave Entertainment
8114,Gun,GC,2005,Shooter,Activision
8115,SoulCalibur Legends,Wii,2007,Action,Namco Bandai Games
8116,Rio,Wii,2011,Misc,THQ
8117,F1 Challenge,SAT,1994,Racing,Sega
8118,Squeeballs Party,Wii,2009,Puzzle,Performance Designed Products
8119,Metal Gear Ac!d 2,PSP,2005,Strategy,Konami Digital Entertainment
8120,Shadow Madness,PS,1999,Action,Crave Entertainment
8121,Aliens: Colonial Marines,PC,2013,Shooter,Sega
8122,Tiger Woods PGA Tour 2004,GBA,2003,Sports,Electronic Arts
8123,The Game of Life / Yahtzee / Payday,GBA,2005,Misc,Zoo Digital Publishing
8124,FIFA Soccer 11,PC,2010,Sports,Electronic Arts
8125,American Chopper 2: Full Throttle,PS2,2005,Racing,Zoo Digital Publishing
8126,Borderlands,PC,2009,Shooter,Take-Two Interactive
8127,de Blob 2,Wii,2011,Platform,THQ
8128,Silent Hill 4: The Room,XB,2004,Action,Konami Digital Entertainment
8129,Commandos 2: Men of Courage,PS2,2002,Strategy,Eidos Interactive
8130,Remember Me,X360,2013,Action,Capcom
8131,Brink,PC,2011,Shooter,Bethesda Softworks
8132,FIFA Soccer 2002,GC,2001,Sports,Electronic Arts
8133,Pro Evolution Soccer 2013,3DS,2012,Sports,Konami Digital Entertainment
8134,Atari Anniversary Edition Redux,PS,2000,Misc,Infogrames
8135,Lips: Party Classics,X360,2010,Misc,Microsoft Game Studios
8136,Toukiden: The Age of Demons,PSP,2013,Action,Tecmo Koei
8137,Fireblade,PS2,2002,Action,Midway Games
8138,Disney's Tarzan Untamed,GC,2001,Platform,Ubisoft
8139,Brunswick Circuit Pro Bowling,PS,1998,Sports,THQ
8140,Marvel Super Hero Squad: Comic Combat,Wii,2011,Action,THQ
8141,Trinity Universe,PS3,2009,Role-Playing,Nippon Ichi Software
8142,Payday 2,XOne,2015,Shooter,505 Games
8143,Pirates: Hunt For Blackbeard's Booty,Wii,2008,Adventure,Activision
8144,Cabela's Dangerous Hunts 2009,PS2,2008,Sports,Activision Value
8145,Senran Kagura: Estival Versus,PS4,2015,Action,Marvelous Interactive
8146,Ball Breakers,PS,2000,Action,Take-Two Interactive
8147,Mobile Suit Gundam Seed Destiny: Generation of C.E.,PS2,2005,Action,Namco Bandai Games
8148,Splatterhouse,X360,2010,Action,Namco Bandai Games
8149,EyeToy: Groove,PS2,2003,Misc,Sony Computer Entertainment
8150,You Don't Know Jack,PS3,2011,Misc,THQ
8151,Chuck E. Cheese's Party Games,DS,2010,Misc,UFO Interactive
8152,Twisted Metal: Small Brawl,PS,N/A,Action,Unknown
8153,Otomedius Excellent,X360,N/A,Shooter,Unknown
8154,Charlie and the Chocolate Factory,GC,2005,Adventure,Global Star
8155,Armored Core: Last Raven,PS2,2005,Simulation,505 Games
8156,Burnout Legends,DS,2005,Racing,Electronic Arts
8157,Tomb Raider: Underworld,PS2,2009,Action,Eidos Interactive
8158,College Hoops 2K7,PS3,2007,Sports,Take-Two Interactive
8159,Hello Kitty: Birthday Adventures,DS,2010,Adventure,Namco Bandai Games
8160,All Grown Up! Express Yourself,GBA,2004,Misc,THQ
8161,Escape The Museum,DS,2010,Adventure,Astragon
8162,K-1 World Grand Prix,PS2,2002,Sports,Konami Digital Entertainment
8163,Kidou Senshi Gundam: Senjou no Kizuna Portable,PSP,2009,Strategy,Namco Bandai Games
8164,Super Robot Taisen A Portable,PSP,2008,Strategy,Namco Bandai Games
8165,Juiced,XB,2005,Racing,THQ
8166,Naruto Shippuden: Dragon Blade Chronicles,Wii,2009,Action,505 Games
8167,Looney Tunes: Back in Action,GBA,2003,Platform,Electronic Arts
8168,Shaun White Skateboarding,Wii,2010,Sports,Ubisoft
8169,DiRT Showdown,PS3,2012,Racing,Codemasters
8170,Virtua Tennis,GBA,2002,Sports,Atari
8171,Cabela's Big Game Hunter: Hunting Party,X360,2011,Sports,Activision
8172,Tales of the Tempest,DS,2006,Role-Playing,Namco Bandai Games
8173,SimCity Creator (JP sales),DS,2008,Simulation,Electronic Arts
8174,Biohazard: Revival Selection,PS3,2011,Action,Capcom
8175,Sonic Riders: Zero Gravity,PS2,2008,Racing,Sega
8176,UFC: Sudden Impact,PS2,2004,Fighting,Global Star
8177,NBA Hoopz,PS2,2001,Sports,Midway Games
8178,ESPN X Games Skateboarding,GBA,2001,Sports,Konami Digital Entertainment
8179,Nancy Drew: The Hidden Staircase,DS,2008,Adventure,THQ
8180,Speedball 2100,PS,2000,Sports,Empire Interactive
8181,Full Auto 2: Battlelines,PS3,2006,Racing,Sega
8182,College Hoops 2K8,X360,2007,Sports,Take-Two Interactive
8183,LEGO Island 2: The Brickster's Revenge,PS,2001,Adventure,LEGO Media
8184,How to Train Your Dragon,PS3,2010,Action,Activision
8185,Backyard Basketball,GBA,2004,Sports,Atari
8186,Madden NFL 09,XB,2008,Sports,Electronic Arts
8187,Dynasty Warriors: Gundam 3,X360,2010,Action,Tecmo Koei
8188,Scooby-Doo! Unmasked,GBA,2005,Platform,THQ
8189,Summon Night 4,PS2,2006,Role-Playing,Banpresto
8190,NHL 2004,XB,2003,Sports,Electronic Arts
8191,Pro Yaky? Spirits 5,PS2,2008,Sports,Konami Digital Entertainment
8192,Back to the Future: The Game,PS4,2015,Adventure,Telltale Games
8193,Namco Museum: 50th Anniversary,XB,2005,Misc,Namco Bandai Games
8194,Monster 4x4: Stunt Racer,Wii,2009,Racing,Ubisoft
8195,Velvet Assassin,X360,2009,Shooter,DTP Entertainment
8196,NFL 2K2,XB,2002,Sports,Sega
8197,MindJack,PS3,2011,Shooter,Square Enix
8198,Marvel Super Hero Squad: Comic Combat,X360,2011,Action,THQ
8199,NBA Starting Five,PS2,N/A,Sports,Unknown
8200,NBA Live 16,PS4,2015,Sports,Electronic Arts
8201,WWE SmackDown vs. Raw 2009,DS,2008,Fighting,THQ
8202,Dead or Alive Paradise,PSP,2010,Misc,Ubisoft Annecy
8203,Dark Souls II,PC,2014,Role-Playing,Namco Bandai Games
8204,The Suffering: Ties That Bind,PS2,2005,Action,Midway Games
8205,EyeToy: Kinetic,PS2,2005,Sports,Sony Computer Entertainment
8206,Transformers: Prime,3DS,2012,Action,Activision
8207,Fancy Nancy: Tea Party Time!,DS,2010,Adventure,THQ
8208,Project Spark,XOne,2014,Misc,Microsoft Game Studios
8209,Army Men: Sarge's Heroes 2,PS2,2001,Shooter,Midas Interactive Entertainment
8210,Yakuza Zero: The Place of Oath,PS4,2015,Action,Sega
8211,The Wild Thornberrys: Animal Adventures,PS,2000,Adventure,Mattel Interactive
8212,Cabela's Adventure Camp,Wii,2011,Misc,Activision
8213,SEGA Bass Fishing Duel,PS2,2002,Sports,Sega
8214,Teen Titans,GBA,N/A,Action,Unknown
8215,Sports Illustrated for Kids: Baseball,GBA,2001,Sports,BAM! Entertainment
8216,Mark Davis Pro Bass Challenge,PS2,2002,Sports,Natsume
8217,Rugrats: Royal Ransom,GC,2002,Platform,THQ
8218,Winning Eleven: Pro Evolution Soccer 2007,DS,2006,Sports,Konami Digital Entertainment
8219,Warriors of Might and Magic,PS2,2001,Adventure,3DO
8220,Rapala Fishing Frenzy 2009,PS3,2008,Sports,Activision
8221,Petz: Horseshoe Ranch,DS,2009,Adventure,Ubisoft
8222,Open Season,GC,2006,Platform,Ubisoft
8223,Ridge Racer,PSV,2011,Racing,Namco Bandai Games
8224,EyePet & Friends,PS3,2011,Simulation,Sony Computer Entertainment
8225,Street Fighter: The Movie,PS,1995,Fighting,Acclaim Entertainment
8226,Major League Baseball 2K9,PS3,2009,Sports,Spike
8227,World Championship Poker,GBA,2004,Misc,Crave Entertainment
8228,Global Defence Force,PS2,2005,Shooter,Essential Games
8229,Major League Baseball 2K6,GC,2006,Sports,Take-Two Interactive
8230,WordJong Party,Wii,2008,Puzzle,Destineer
8231,SaGa 2: Hihou Densetsu - Goddess of Destiny,DS,2009,Role-Playing,Square Enix
8232,Smash Court Tennis Pro Tournament,PS2,2002,Sports,Sony Computer Entertainment
8233,Super Robot Taisen L,DS,2010,Strategy,Namco Bandai Games
8234,Race Pro,X360,2009,Racing,Atari
8235,The Grim Adventures of Billy & Mandy,GC,2006,Action,Midway Games
8236,NBA Inside Drive 2004,XB,2003,Sports,Microsoft Game Studios
8237,The King of Fighters '97,PS,1998,Fighting,SNK
8238,Time Commando,PS,1996,Action,Adeline Software
8239,Professional Fisherman's Tour: Northern Hemisphere,DS,2007,Sports,505 Games
8240,Kekkaishi: Karasumori Ayakashi Kidan,DS,2007,Action,Namco Bandai Games
8241,Gretzky NHL 2005,PS2,2004,Sports,Sony Computer Entertainment
8242,Dungeon Siege III,PC,2011,Role-Playing,Square Enix
8243,The Hobbit,GC,2003,Platform,Vivendi Games
8244,MotoGP 15,PS4,2015,Racing,Milestone S.r.l.
8245,Backyard Sports Football: Rookie Rush,DS,2010,Sports,Atari
8246,Skate it,DS,2008,Sports,Electronic Arts
8247,Cabela's Legendary Adventures,Wii,2008,Sports,Activision
8248,True Crime: New York City,GC,2005,Action,Activision
8249,Metal Arms: Glitch in the System,XB,2003,Shooter,Vivendi Games
8250,The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,PSP,2012,Action,Namco Bandai Games
8251,Toukiden Kiwami,PS4,2015,Action,Tecmo Koei
8252,Trauma Team,Wii,N/A,Simulation,Unknown
8253,The Secret World,PC,2012,Role-Playing,Funcom
8254,Ice Age: Dawn of the Dinosaurs,PS2,2009,Action,Activision
8255,ESPN Final Round Golf 2002,GBA,2001,Sports,Konami Digital Entertainment
8256,Iron Chef America: Supreme Cuisine,Wii,2008,Simulation,Destineer
8257,MDK2 Armageddon,PS2,2001,Shooter,Virgin Interactive
8258,Exhibition Volume 02,XB,2003,Misc,Microsoft Game Studios
8259,NHL 2K9,X360,2008,Sports,Take-Two Interactive
8260,I Spy: Castle,DS,2011,Puzzle,Scholastic Inc.
8261,Fight Night Round 2,GC,2005,Fighting,Electronic Arts
8262,Backbreaker,PS3,N/A,Sports,Unknown
8263,Disney's Atlantis: The Lost Empire,PS,2001,Platform,Sony Computer Entertainment
8264,Power Pro Kun Pocket,GB,1999,Sports,Konami Digital Entertainment
8265,The King of Fighters '97,SAT,1998,Fighting,SNK
8266,Tamagotchi no Narikiri Challenge,DS,2010,Action,Namco Bandai Games
8267,Madden NFL 17,X360,2016,Sports,Electronic Arts
8268,Jewel Match,DS,2010,Puzzle,PlayV
8269,Space Battleship Yamato: Harukanaru Hoshi Iscandar,PS,1999,Strategy,Namco Bandai Games
8270,Lost in Blue 3,DS,2007,Adventure,Konami Digital Entertainment
8271,Sound Novel Evolution 1: Otogirisou Sosei-Hen,PS,1999,Adventure,ChunSoft
8272,Stormrise,PS3,2009,Strategy,Sega
8273,Psi-Ops: The Mindgate Conspiracy,XB,2004,Shooter,Midway Games
8274,X-Men: The Official Game,X360,2006,Action,Activision
8275,SWAT: Global Strike Team,XB,2003,Shooter,Vivendi Games
8276,Horrid Henry: Missions of Mischief,DS,2010,Adventure,SouthPeak Games
8277,Cabela's Legendary Adventures,PSP,2008,Sports,Activision
